Year,Economy,Economy Label,ShipType,ShipType Label,Dead weight tons in thousands,DWT_million
1980,0000,World,0,Total fleet,672192.465,672.192465
1980,0000,World,1,Oil tankers,337945.534,337.945534
1980,0000,World,2,Bulk carriers,181880.282,181.880282
1980,0000,World,3,General cargo,112840.897,112.840897
1980,0000,World,4,Container ships,10290.114,10.290113999999999
1980,0000,World,5,Other types of ships,29235.638,29.235637999999998
1980,5100,Africa,0,Total fleet,167909.445,167.909445
1980,5100,Africa,1,Oil tankers,108636.742,108.636742
1980,5100,Africa,2,Bulk carriers,46923.651,46.923651
1980,5100,Africa,3,General cargo,8241.719,8.241719
1980,5100,Africa,4,Container ships,664.709,0.664709
1980,5100,Africa,5,Other types of ships,3442.624,3.442624
1980,5110,Northern Africa,0,Total fleet,4950.346,4.950346
1980,5110,Northern Africa,1,Oil tankers,3161.677,3.161677
1980,5110,Northern Africa,2,Bulk carriers,260.628,0.26062799999999997
1980,5110,Northern Africa,3,General cargo,1044.468,1.0444680000000002
1980,5110,Northern Africa,5,Other types of ships,483.573,0.483573
1980,5120,Sub-Saharan Africa,0,Total fleet,162959.099,162.95909899999998
1980,5120,Sub-Saharan Africa,1,Oil tankers,105475.065,105.475065
1980,5120,Sub-Saharan Africa,2,Bulk carriers,46663.023,46.663023
1980,5120,Sub-Saharan Africa,3,General cargo,7197.251,7.1972510000000005
1980,5120,Sub-Saharan Africa,4,Container ships,664.709,0.664709
1980,5120,Sub-Saharan Africa,5,Other types of ships,2959.051,2.959051
1980,5121,Eastern Africa,0,Total fleet,404.87,0.40487
1980,5121,Eastern Africa,1,Oil tankers,62.299,0.062299
1980,5121,Eastern Africa,3,General cargo,321.893,0.321893
1980,5121,Eastern Africa,5,Other types of ships,20.678,0.020678000000000002
1980,5122,Middle Africa,0,Total fleet,536.68,0.5366799999999999
1980,5122,Middle Africa,1,Oil tankers,152.693,0.15269300000000002
1980,5122,Middle Africa,2,Bulk carriers,28.826,0.028826
1980,5122,Middle Africa,3,General cargo,322.042,0.322042
1980,5122,Middle Africa,5,Other types of ships,33.119,0.033119
1980,5123,Southern Africa,0,Total fleet,858.106,0.858106
1980,5123,Southern Africa,1,Oil tankers,62.554,0.062554
1980,5123,Southern Africa,2,Bulk carriers,285.003,0.285003
1980,5123,Southern Africa,3,General cargo,210.282,0.21028200000000002
1980,5123,Southern Africa,4,Container ships,239.991,0.239991
1980,5123,Southern Africa,5,Other types of ships,60.276,0.060276
1980,5124,Western Africa,0,Total fleet,161159.443,161.159443
1980,5124,Western Africa,1,Oil tankers,105197.519,105.197519
1980,5124,Western Africa,2,Bulk carriers,46349.194,46.349194000000004
1980,5124,Western Africa,3,General cargo,6343.034,6.343033999999999
1980,5124,Western Africa,4,Container ships,424.718,0.42471800000000004
1980,5124,Western Africa,5,Other types of ships,2844.978,2.8449780000000002
1980,5200,Americas,0,Total fleet,78121.08,78.12108
1980,5200,Americas,1,Oil tankers,34138.038,34.138038
1980,5200,Americas,2,Bulk carriers,15609.281,15.609281000000001
